time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-09-10T08:24:15.180Z,-28.7391,-71.6956,35,5.3,mww,,73,0.763,1.34,us,us2000hbtu,2018-11-21T18:19:08.040Z,"93km WSW of Vallenar, Chile",earthquake,4.1,1.8,0.086,13,reviewed,us,us
2018-09-07T23:12:47.770Z,-30.5214,-69.7273,107.26,4.7,mwr,,27,0.628,1.16,us,us2000harp,2018-11-14T17:40:18.040Z,"94km NNW of Calingasta, Argentina",earthquake,4.7,4.4,0.038,67,reviewed,us,us
2018-09-07T02:39:17.950Z,-28.8696,-69.9459,93.13,5.8,mww,,23,0.289,0.97,us,us2000ha1k,2018-11-14T17:40:17.040Z,"85km ESE of Vallenar, Chile",earthquake,5.8,3.4,0.045,48,reviewed,us,us
2018-09-06T13:21:41.260Z,-31.7585,-72.2401,11.37,4.6,mwr,,143,1.131,0.74,us,us2000h9bp,2018-11-14T17:40:15.040Z,"102km W of Illapel, Chile",earthquake,3.7,4.3,0.033,87,reviewed,us,us
2018-09-05T20:16:41.390Z,-34.4405,-70.5143,113.14,5.1,mwr,,45,0.414,0.63,us,us2000h8y2,2018-11-14T17:40:14.040Z,"31km SSE of Machali, Chile",earthquake,5.2,4.4,,,reviewed,us,guc
2018-09-04T00:20:08.150Z,-39.8053,-71.655,140.01,4.7,mwr,,46,0.262,0.91,us,us2000h7gj,2018-11-14T17:40:13.040Z,"47km NNW of San Martin de los Andes, Argentina",earthquake,6,3.8,,,reviewed,us,guc
2018-09-02T18:12:11.680Z,-28.2655,-70.708,95.92,4.5,mwr,,82,0.328,0.9,us,us2000h6wm,2018-11-07T18:37:09.040Z,"34km N of Vallenar, Chile",earthquake,5.1,5.2,,,reviewed,us,guc
2018-09-02T11:04:11.800Z,-29.3724,-71.3799,44.5,4.6,mwr,,91,0.558,0.9,us,us2000h6u9,2018-11-07T18:37:09.040Z,"60km NNW of La Serena, Chile",earthquake,5.4,5.4,0.036,74,reviewed,us,us
2018-08-31T13:25:01.350Z,-32.2062,-70.4787,96.26,5,mww,,65,0.559,1.08,us,us2000h5yi,2018-11-07T18:37:07.040Z,"64km NNE of San Felipe, Chile",earthquake,5.3,3.5,0.069,20,reviewed,us,us
2018-08-30T21:43:39.260Z,-32.3915,-71.2301,48.23,4.6,mwr,,65,0.178,0.64,us,us2000h5qu,2018-11-07T18:37:06.040Z,"6km N of La Ligua, Chile",earthquake,3.8,4.6,0.047,44,reviewed,us,us
2018-08-28T04:51:40.320Z,-29.6839,-71.3635,35.03,5.2,mww,,71,0.258,0.85,us,us1000gigb,2018-12-05T17:51:25.771Z,"26km NNW of La Serena, Chile",earthquake,3.4,4.2,0.073,18,reviewed,us,us
2018-08-27T09:16:04.740Z,-29.7178,-71.5452,54.77,5,mwr,,65,0.333,1.49,us,us1000ghwz,2018-11-07T18:37:02.040Z,"32km NW of Coquimbo, Chile",earthquake,6.8,5.3,0.032,91,reviewed,us,us
2018-08-27T07:38:54.750Z,-21.0984,-68.681,125.42,4.5,mb,,53,0.869,0.77,us,us1000ghvw,2018-11-07T18:37:01.040Z,"153km N of Calama, Chile",earthquake,5,6.5,0.124,19,reviewed,us,us
2018-08-26T15:56:22.840Z,-23.0941,-66.8527,254.72,4.5,mb,,91,1.229,0.62,us,us1000ghlx,2018-11-01T17:51:00.040Z,"119km W of El Aguilar, Argentina",earthquake,10.1,11,0.384,2,reviewed,us,us
2018-08-21T14:11:33.140Z,-26.7554,-71.0367,17.11,4.6,mb,,134,0.721,0.68,us,us1000geme,2018-11-01T17:50:53.040Z,"97km NW of Copiapo, Chile",earthquake,3.5,5.6,0.165,11,reviewed,us,us
2018-08-20T23:50:06.410Z,-21.8629,-67.2332,177.25,4.8,mwr,,29,1.393,0.79,us,us1000ge94,2018-11-01T17:50:52.040Z,"146km SW of Atocha, Bolivia",earthquake,7.5,5.8,,,reviewed,us,guc
2018-08-20T06:40:56.450Z,-33.4933,-68.1385,37.87,4.6,mb,,51,1.571,0.49,us,us1000gdr7,2018-11-01T17:50:49.040Z,"55km SSE of San Martin, Argentina",earthquake,5.4,9.8,0.146,14,reviewed,us,us
2018-08-15T07:01:15.720Z,-22.3645,-65.8747,254.2,4.5,mb,,37,2.207,1.14,us,us1000g9iw,2018-10-27T16:22:03.040Z,"41km SW of La Quiaca, Argentina",earthquake,8.5,8.6,0.043,161,reviewed,us,us
2018-08-14T05:32:33.720Z,-19.6,-69.2794,105.14,4.8,mwr,,85,0.105,1,us,us1000g8mv,2018-10-27T16:22:02.040Z,"113km NE of Iquique, Chile",earthquake,6.6,5.5,0.055,32,reviewed,us,us
